RIC,Instrument_Name,Country,Currency,Exchange
SOLV,Solventum,United States,USD,SMART
SPG,Simon Property Group,United States,USD,SMART
SPGI,S&P Global,United States,USD,SMART
SRE,Sempra,United States,USD,SMART
STE,Steris,United States,USD,SMART
STLD,Steel Dynamics,United States,USD,SMART
STT,State Street Corporation,United States,USD,SMART
STX,Seagate Technology,United States,USD,SMART
STZ,Constellation Brands,United States,USD,SMART
SW,Smurfit Westrock,United States,USD,SMART
SWK,Stanley Black & Decker,United States,USD,SMART
SWKS,Skyworks Solutions,United States,USD,SMART
SYF,Synchrony Financial,United States,USD,SMART
SYK,Stryker Corporation,United States,USD,SMART
SYY,Sysco,United States,USD,SMART
T,AT&T,United States,USD,SMART
TAP,Molson Coors Beverage Company,United States,USD,SMART
TDG,TransDigm Group,United States,USD,SMART
TDY,Teledyne Technologies,United States,USD,SMART
TECH,Bio-Techne,United States,USD,SMART
TEL,TE Connectivity,United States,USD,SMART
TER,Teradyne,United States,USD,SMART
TFC,Truist Financial,United States,USD,SMART
TGT,Target Corporation,United States,USD,SMART
TJX,TJX Companies,United States,USD,SMART
TKO,TKO Group Holdings,United States,USD,SMART
TMO,Thermo Fisher Scientific,United States,USD,SMART
TMUS,T-Mobile US,United States,USD,SMART
TPL,Texas Pacific Land Corporation,United States,USD,SMART
TPR,"Tapestry, Inc.",United States,USD,SMART
TRGP,Targa Resources,United States,USD,SMART
TRMB,Trimble Inc.,United States,USD,SMART
TROW,T. Rowe Price,United States,USD,SMART
TRV,Travelers Companies (The),United States,USD,SMART
TSCO,Tractor Supply,United States,USD,SMART
TSLA,"Tesla, Inc.",United States,USD,SMART
TSN,Tyson Foods,United States,USD,SMART
TT,Trane Technologies,United States,USD,SMART
TTD,Trade Desk (The),United States,USD,SMART
TTWO,Take-Two Interactive,United States,USD,SMART
TXN,Texas Instruments,United States,USD,SMART
TXT,Textron,United States,USD,SMART
TYL,Tyler Technologies,United States,USD,SMART
UAL,United Airlines Holdings,United States,USD,SMART
UBER,Uber,United States,USD,SMART
UDR,"UDR, Inc.",United States,USD,SMART
UHS,Universal Health Services,United States,USD,SMART
ULTA,Ulta Beauty,United States,USD,SMART
UNH,UnitedHealth Group,United States,USD,SMART
UNP,Union Pacific Corporation,United States,USD,SMART
UPS,United Parcel Service,United States,USD,SMART
URI,United Rentals,United States,USD,SMART
USB,U.S. Bancorp,United States,USD,SMART
V,Visa Inc.,United States,USD,SMART
VEEV,Veeva Systems,United States,USD,SMART
VICI,Vici Properties,United States,USD,SMART
VLO,Valero Energy,United States,USD,SMART
VLTO,Veralto,United States,USD,SMART
VMC,Vulcan Materials Company,United States,USD,SMART
VRSK,Verisk Analytics,United States,USD,SMART
VRSN,Verisign,United States,USD,SMART
VRT,Vertiv,United States,USD,SMART
VRTX,Vertex Pharmaceuticals,United States,USD,SMART
VST,Vistra Corp.,United States,USD,SMART
VTR,Ventas,United States,USD,SMART
VTRS,Viatris,United States,USD,SMART
VZ,Verizon,United States,USD,SMART
WAB,Wabtec,United States,USD,SMART
WAT,Waters Corporation,United States,USD,SMART
WBD,Warner Bros. Discovery,United States,USD,SMART
WDAY,"Workday, Inc.",United States,USD,SMART
WDC,Western Digital,United States,USD,SMART
WEC,WEC Energy Group,United States,USD,SMART
WELL,Welltower,United States,USD,SMART
WFC,Wells Fargo,United States,USD,SMART
WM,Waste Management,United States,USD,SMART
WMB,Williams Companies,United States,USD,SMART
WMT,Walmart,United States,USD,SMART
WRB,W. R. Berkley Corporation,United States,USD,SMART
WSM,"Williams-Sonoma, Inc.",United States,USD,SMART
WST,West Pharmaceutical Services,United States,USD,SMART
WTW,Willis Towers Watson,United States,USD,SMART
WY,Weyerhaeuser,United States,USD,SMART
WYNN,Wynn Resorts,United States,USD,SMART
XEL,Xcel Energy,United States,USD,SMART
XOM,ExxonMobil,United States,USD,SMART
XYL,Xylem Inc.,United States,USD,SMART
XYZ,"Block, Inc.",United States,USD,SMART
YUM,Yum! Brands,United States,USD,SMART
ZBH,Zimmer Biomet,United States,USD,SMART
ZBRA,Zebra Technologies,United States,USD,SMART
ZTS,Zoetis,United States,USD,SMART
